asciiname	month	frequency
gaza	2023-10	4208
gaza strip	2023-10	4208
gaza city	2023-10	4218
rafah	2023-10	182
bayt lahya	2023-10	11
jabalya	2023-10	37
jabalia	2023-10	33
bayt hanun	2023-10	19
al-shifa hospital	2023-10	31
khan younis	2023-10	74
tunis	2023-10	14
an nasr	2023-10	12
al burayj	2023-10	3
bureij	2023-10	3
remal	2023-10	14
deir el-balah	2023-10	38
an nusayrat	2023-10	22
nuseirat	2023-10	22
maghazi	2023-10	15
abu sittah	2023-10	1
hawd waw	2023-10	1
hijazi	2023-10	2
bani suhayla	2023-10	1
abasan al kabirah	2023-10	4
az-zawayda	2023-10	1
shokat as-sufi	2023-10	1
al-mughraqa	2023-10	1
abasan al-saghira	2023-10	1
qizan	2023-10	1
al-azhar university	2023-10	2
al-aqsa university	2023-10	1
bani suhela	2023-10	3
gaza	2023-11	4552
gaza strip	2023-11	4552
gaza city	2023-11	4568
jabalya	2023-11	103
jabalia	2023-11	102
rafah	2023-11	150
hawd waw	2023-11	1
khan younis	2023-11	132
deir el-balah	2023-11	51
al-shifa hospital	2023-11	245
al burayj	2023-11	15
bureij	2023-11	15
bayt hanun	2023-11	17
an nusayrat	2023-11	16
nuseirat	2023-11	16
an nasr	2023-11	25
tunis	2023-11	41
maghazi	2023-11	28
bayt lahya	2023-11	14
abasan al kabirah	2023-11	5
bani suhela	2023-11	5
abasan al-saghira	2023-11	2
hijazi	2023-11	2
remal	2023-11	3
al qararah	2023-11	1
bani suhayla	2023-11	1
al-zahra'	2023-11	1
al-azhar university	2023-11	1
khan younis	2023-12	173
gaza	2023-12	2892
gaza strip	2023-12	2892
gaza city	2023-12	2915
rafah	2023-12	201
jabalya	2023-12	46
bayt lahya	2023-12	8
jabalia	2023-12	44
an nusayrat	2023-12	26
al burayj	2023-12	17
nuseirat	2023-12	26
bureij	2023-12	17
maghazi	2023-12	49
deir el-balah	2023-12	45
abasan al kabirah	2023-12	4
al-shifa hospital	2023-12	23
bani suhayla	2023-12	1
bayt hanun	2023-12	4
tunis	2023-12	6
hawd waw	2023-12	2
remal	2023-12	5
hijazi	2023-12	1
az-zawayda	2023-12	1
an nasr	2023-12	3
al-azhar university	2023-12	2
abu sittah	2023-12	4
gaza	2024-01	1966
gaza strip	2024-01	1966
gaza city	2024-01	1973
khan younis	2024-01	74
deir el-balah	2024-01	19
rafah	2024-01	41
an nusayrat	2024-01	11
al burayj	2024-01	5
nuseirat	2024-01	11
bureij	2024-01	5
an nasr	2024-01	14
tunis	2024-01	5
jabalya	2024-01	12
jabalia	2024-01	12
maghazi	2024-01	9
al-azhar university	2024-01	1
hijazi	2024-01	1
al qararah	2024-01	1
bayt hanun	2024-01	1
bayt lahya	2024-01	2
al-shifa hospital	2024-01	3
bani suhayla	2024-01	2
al-aqsa university	2024-01	2
al-mughraqa	2024-01	1
al mawasi	2024-01	1
al amal	2024-01	1
al mu'askar	2024-01	1
markaz al madinah	2024-01	1
gaza	2024-02	1896
gaza strip	2024-02	1896
gaza city	2024-02	1904
rafah	2024-02	498
al-shifa hospital	2024-02	15
khan younis	2024-02	63
an nusayrat	2024-02	6
nuseirat	2024-02	6
bayt hanun	2024-02	3
jabalya	2024-02	7
jabalia	2024-02	7
deir el-balah	2024-02	31
az-zawayda	2024-02	1
an nasr	2024-02	6
maghazi	2024-02	2
bayt lahya	2024-02	3
tunis	2024-02	2
al-aqsa university	2024-02	2
abasan al kabirah	2024-02	1
hamadah	2024-02	1
al burayj	2024-02	2
bureij	2024-02	2
hawd waw	2024-02	1
gaza	2024-03	2206
gaza strip	2024-03	2206
gaza city	2024-03	2218
rafah	2024-03	253
al-shifa hospital	2024-03	32
jabalya	2024-03	8
jabalia	2024-03	8
deir el-balah	2024-03	30
khan younis	2024-03	40
al qararah	2024-03	1
al mawasi	2024-03	1
al amal	2024-03	1
an nusayrat	2024-03	9
nuseirat	2024-03	9
bani suhela	2024-03	2
maghazi	2024-03	3
bayt hanun	2024-03	7
tunis	2024-03	2
remal	2024-03	3
an nasr	2024-03	3
al burayj	2024-03	5
bureij	2024-03	5
bayt lahya	2024-03	1
rafah	2024-04	81
gaza	2024-04	1002
gaza strip	2024-04	1002
gaza city	2024-04	1005
deir el-balah	2024-04	12
al-shifa hospital	2024-04	13
jabalya	2024-04	3
bayt lahya	2024-04	2
khan younis	2024-04	25
an nasr	2024-04	3
an nusayrat	2024-04	8
nuseirat	2024-04	8
bayt hanun	2024-04	10
tunis	2024-04	19
abu sittah	2024-04	4
jabalia	2024-04	2
az-zawayda	2024-04	1
remal	2024-04	2
hawd waw	2024-04	1
hijazi	2024-04	2
